Eleição;TipoVoto;Candidato
Prefeito-Betim;Normal;Symon
Prefeito-Betim;Normal;Symon
Prefeito-Betim;Normal;Symon
Prefeito-Betim;Normal;Bruno
Prefeito-Betim;Normal;Vitor
Prefeito-Betim;Branco;Vitor
Prefeito-Betim;Nulo;Vitor
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
