Eleição;TipoVoto;Candidato
Prefeito-Betim;Normal;Thales
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Weuler
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Iago
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Normal;Samuel
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Nulo;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
Prefeito-Betim;Branco;  
